municipality,population
帯広市,255142
北見市,127143
秋田市,374655
いわき市,332909
青森市,300064
弘前市,284334
大崎市,142423
米沢市,128154
鶴岡市,125510
横手市,122036
岡崎市,391374
富士市,375541
上田市,226711
上越市,214024
西尾市,170051
小松市,168095
佐久市,121438
掛川市,119655
蒲郡市,106750
敦賀市,101634
高山市,101057
下関市,254082
鳥取市,218874
宇部市,186836
岩国市,145150
津山市,136547
三原市,106787
都城市,191827
飯塚市,169451
中津市,140845
大牟田市,139275
諫早市,133852
八代市,123067
延岡市,118394
唐津市,111760
長浜市,144357
豊岡市,105892
成田市,333710
小山市,282198
太田市,280317
日立市,257595
土浦市,237330
古河市,160378
名護市,103277
