エリアOK/NG,地方,都市雇用圏名（中心都市）,圏域人口,区分,構成自治体（10%通勤圏の郊外自治体）
OK,東北,郡山市,"498,477",大都市雇用圏,"須賀川市, 田村市, 本宮市, 鏡石町, 天栄村, 猪苗代町, 石川町, 玉川村, 平田村, 浅川町, 古殿町, 三春町, 小野町"
NG（周辺ふくむ）,中部,長野市,"485,381",大都市雇用圏,"須坂市, 中野市, 千曲市, 坂城町, 小布施町, 高山村, 信濃町, 飯綱町, 小川村"
OK,九州,長崎市,"483,164",大都市雇用圏,"長与町, 時津町"
OK,近畿,姫路市,"480,488",大都市雇用圏,"相生市, たつの市, 宍粟市, 福崎町, 神河町, 市川町, 太子町, 上郡町, 佐用町"
OK,関東,水戸市,"478,140",大都市雇用圏,"笠間市, ひたちなか市, 那珂市, 小美玉市, 茨城町, 大洗町, 城里町, 東海村"
OK,東北,山形市,"469,324",大都市雇用圏,"上山市, 村山市, 天童市, 寒河江市, 東根市, 山辺町, 中山町, 河北町, 西川町, 朝日町, 大江町"
NG（周辺ふくむ）,東北,盛岡市,"464,131",大都市雇用圏,"八幡平市, 滝沢市, 雫石町, 葛巻町, 岩手町, 紫波町, 矢巾町"
NG（近隣なら検討可）,中国,福山市,"460,930",大都市雇用圏,"府中市, 神石高原町, 笠岡市(岡山), 井原市(岡山), 里庄町(岡山)"
NG（近隣なら検討可）,関東,つくば市,"455,420",大都市雇用圏,"常総市, つくばみらい市, 下妻市"
OK,中部,豊橋市,"447,249",大都市雇用圏,"豊川市, 田原市, 湖西市(静岡)"
NG（周辺ふくむ）,近畿,和歌山市,"444,383",大都市雇用圏,"海南市, 紀の川市, 岩出市, 紀美野町"
NG（周辺ふくむ）,九州,宮崎市,"444,196",大都市雇用圏,"国富町, 綾町"
NG（周辺ふくむ）,東北,福島市,"438,705",大都市雇用圏,"二本松市, 伊達市, 桑折町, 国見町, 川俣町"
OK,関東,厚木市,"432,593",大都市雇用圏,"伊勢原市, 愛川町, 清川村"
NG（近隣なら検討可）,九州,久留米市,"431,885",大都市雇用圏,"小郡市, うきは市, 朝倉市, 筑前町, 大刀洗町, 大木町, 広川町, 佐賀県(基山町, 上峰町, みやき町)"
OK,四国,高知市,"430,974",大都市雇用圏,"南国市, 土佐市, 香南市, 香美市, 本山町, 大豊町, 土佐町, 大川村, いの町, 仁淀川町, 佐川町, 越知町, 日高村"
NG（周辺ふくむ）,四国,徳島市,"427,725",大都市雇用圏,"鳴門市, 小松島市, 阿南市, 吉野川市, 阿波市, 勝浦町, 上勝町, 佐那河内村, 石井町, 神山町, 松茂町, 北島町, 藍住町, 板野町, 上板町"
OK,中部,沼津市,"423,088",大都市雇用圏,"三島市, 裾野市, 伊豆の国市, 函南町, 清水町, 長泉町"
OK,四国,高松市,"419,403",大都市雇用圏,"さぬき市, 東かがわ市, 土庄町, 小豆島町, 三木町, 直島町"
OK,北海道,旭川市,"415,841",大都市雇用圏,"深川市, 鷹栖町, 東神楽町, 当麻町, 比布町, 愛別町, 上川町, 東川町, 美瑛町, 和寒町, 剣淵町, 幌加内町"
NG（周辺ふくむ）,中部,松本市,"408,027",大都市雇用圏,"塩尻市, 安曇野市, 麻績村, 生坂村, 山形村, 朝日村, 筑北村"
OK,北海道,帯広市,"255,142",大都市雇用圏,"音更町, 士幌町, 上士幌町, 鹿追町, 新得町, 清水町, 芽室町, 中札内村, 更別村, 大樹町, 幕別町, 池田町, 豊頃町, 本別町"
OK,北海道,北見市,"127,143",大都市雇用圏,"美幌町, 津別町, 訓子府町, 置戸町"
OK,東北,秋田市,"374,655",大都市雇用圏,"五城目町, 八郎潟町, 井川町, 大潟村, 潟上市"
NG（周辺ふくむ）,北海道,函館市,"361,169",大都市雇用圏,"北斗市, 七飯町, 鹿部町, 森町, 木古内町, 知内町"
NG（近隣なら検討可）,関東,小田原市,"342,889",大都市雇用圏,"南足柄市, 中井町, 大井町, 松田町, 山北町, 開成町, 箱根町, 真鶴町, 湯河原町"
NG（近隣なら検討可）,九州,佐賀市,"342,763",大都市雇用圏,"神埼市, 吉野ヶ里町, 小城市, 白石町"
NG（近隣なら検討可）,中部,高岡市,"340,323",大都市雇用圏,"氷見市, 砺波市, 小矢部市, 南砺市"
OK,東北,いわき市,"332,909",大都市雇用圏,広野町
OK,東北,青森市,"300,064",大都市雇用圏,"平内町, 今別町, 外ヶ浜町, 蓬田村"
NG（周辺ふくむ）,中部,津市,"318,349",大都市雇用圏,亀山市
NG（周辺ふくむ）,東北,八戸市,"301,006",大都市雇用圏,"三沢市, おいらせ町, 三戸町, 五戸町, 田子町, 南部町, 階上町, 新郷村"
OK,東北,弘前市,"284,334",大都市雇用圏,"黒石市, 平川市, 藤崎町, 大鰐町, 田舎館村, 板柳町, 鶴田町, 西目屋村"
NG（周辺ふくむ）,中部,大垣市,"298,285",大都市雇用圏,"海津市, 養老町, 垂井町, 関ケ原町, 神戸町, 輪之内町, 安八町, 揖斐川町, 大野町, 池田町"
OK,東北,大崎市,"142,423",大都市雇用圏,"色麻町, 加美町, 涌谷町, 美里町"
